table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
registered_voters,1,id,id,int,,False,,,,,
registered_voters,2,reportyear,reportyear,int,,False,,,,,
registered_voters,3,race_eth_code,race_eth_code,int,,False,,,,,
registered_voters,4,race_eth_name,race_eth_name,str,,False,,,,,
registered_voters,5,geotype,geotype,str,,False,,,,,
registered_voters,6,geotypevalue,geotypevalue,int,,False,,,,,
registered_voters,7,geoname,geoname,str,,False,,,,,
registered_voters,8,county_fips,county_fips,int,,False,,,,,
registered_voters,9,county_name,county_name,str,,False,,,,,
registered_voters,10,region_code,region_code,int,,False,,,,,
registered_voters,11,region_name,region_name,str,,False,,,,,
registered_voters,12,type,type,str,,False,,,,,
registered_voters,13,numerator,numerator,int,,False,,,,,
registered_voters,14,denominator,denominator,int,,False,,,,,
registered_voters,15,percent,percent,float,,False,,,,,
registered_voters,16,ll_95ci,ll_95ci,float,,False,,,,,
registered_voters,17,ul_95ci,ul_95ci,float,,False,,,,,
registered_voters,18,se,se,float,,False,,,,,
registered_voters,19,rse,rse,float,,False,,,,,
registered_voters,20,ca_decile,ca_decile,int,,False,,,,,
registered_voters,21,ca_rr,ca_rr,float,,False,,,,,
registered_voters,22,vap,vap,float,,False,,,,,
registered_voters,23,version,version,date,,False,,,,,
registered_voters,24,gvid,gvid,census.GVid,,False,,,,,
registered_voters,25,reid,reid,demo.RECode,,False,,,,,
household_crowding,1,id,id,int,,False,,,,,
household_crowding,2,reportyear,reportyear,str,,False,,,,,
household_crowding,3,race_eth_code,race_eth_code,int,,False,,,,,
household_crowding,4,race_eth_name,race_eth_name,str,,False,,,,,
household_crowding,5,income_level,income_level,str,,False,,,,,
household_crowding,6,tenure,tenure,str,,False,,,,,
household_crowding,7,crowding_cat,crowding_cat,str,,False,,,,,
household_crowding,8,geotype,geotype,str,,False,,,,,
household_crowding,9,geotypevalue,geotypevalue,int,,False,,,,,
household_crowding,10,geoname,geoname,str,,False,,,,,
household_crowding,11,county_name,county_name,str,,False,,,,,
household_crowding,12,county_fips,county_fips,int,,False,,,,,
household_crowding,13,region_name,region_name,str,,False,,,,,
household_crowding,14,region_code,region_code,int,,False,,,,,
household_crowding,15,total_hshlds,total_hshlds,int,,False,,,,,
household_crowding,16,crowded_hshlds,crowded_hshlds,int,,False,,,,,
household_crowding,17,percent,percent,float,,False,,,,,
household_crowding,18,ll95ci,ll95ci,float,,False,,,,,
household_crowding,19,ul95ci,ul95ci,float,,False,,,,,
household_crowding,20,se,se,float,,False,,,,,
household_crowding,21,rse,rse,float,,False,,,,,
household_crowding,22,ca_decile,ca_decile,int,,False,,,,,
household_crowding,23,ca_rr,ca_rr,float,,False,,,,,
household_crowding,24,version,version,date,,False,,,,,
household_crowding,25,gvid,gvid,census.GVid,,False,,,,,
household_crowding,26,reid,reid,demo.RECode,,False,,,,,
air_quality,1,id,id,int,,False,,,,,
air_quality,2,reportyear,reportyear,str,,False,,,,,
air_quality,3,race_eth_code,race_eth_code,int,,False,,,,,
air_quality,4,race_eth_name,race_eth_name,str,,False,,,,,
air_quality,5,geotype,geotype,str,,False,,,,,
air_quality,6,geotypevalue,geotypevalue,int,,False,,,,,
air_quality,7,geoname,geoname,str,,False,,,,,
air_quality,8,county_name,county_name,str,,False,,,,,
air_quality,9,county_fips,county_fips,int,,False,,,,,
air_quality,10,region_name,region_name,str,,False,,,,,
air_quality,11,region_code,region_code,int,,False,,,,,
air_quality,12,numerator,numerator,str,,False,,,,,
air_quality,13,poppt,poppt,float,,False,,,,,
air_quality,14,pm25_concentration,pm25_concentration,float,,False,,,,,
air_quality,15,ll_95ci,ll_95ci,float,,False,,,,,
air_quality,16,ul_95ci,ul_95ci,float,,False,,,,,
air_quality,17,se,se,float,,False,,,,,
air_quality,18,rse,rse,float,,False,,,,,
air_quality,19,pm25_decile,pm25_decile,int,,False,,,,,
air_quality,20,pm25ratio_ca,pm25ratio_ca,float,,False,,,,,
air_quality,21,version,version,date,,False,,,,,
air_quality,22,gvid,gvid,census.GVid,,False,,,,,
air_quality,23,reid,reid,demo.RECode,,False,,,,,
housing_cost,1,id,id,int,,False,,,,,
housing_cost,2,datasource,datasource,str,,False,,,,,
housing_cost,3,reportyear,reportyear,str,,False,,,,,
housing_cost,4,burden,burden,str,,False,,,,,
housing_cost,5,tenure,tenure,str,,False,,,,,
housing_cost,6,race_eth_code,race_eth_code,int,,False,,,,,
housing_cost,7,race_eth_name,race_eth_name,str,,False,,,,,
housing_cost,8,income_level,income_level,str,,False,,,,,
housing_cost,9,geotype,geotype,str,,False,,,,,
housing_cost,10,geotypevalue,geotypevalue,int,,False,,,,,
housing_cost,11,geoname,geoname,str,,False,,,,,
housing_cost,12,county_name,county_name,str,,False,,,,,
housing_cost,13,county_fips,county_fips,int,,False,,,,,
housing_cost,14,region_name,region_name,str,,False,,,,,
housing_cost,15,region_code,region_code,int,,False,,,,,
housing_cost,16,total_households,total_households,int,,False,,,,,
housing_cost,17,burdened_households,burdened_households,int,,False,,,,,
housing_cost,18,percent,percent,float,,False,,,,,
