table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
poverty_ratio_disability,1,id,id,int,,False,,,,,
poverty_ratio_disability,2,stusab,stusab,str,,False,,,,,
poverty_ratio_disability,3,chariter,chariter,str,,False,,,,,
poverty_ratio_disability,4,sequence,sequence,int,,False,,,,,
poverty_ratio_disability,5,logrecno,logrecno,int,,False,,,,,
poverty_ratio_disability,6,geoid,geoid,census.AcsGeoid,,False,,,,,
poverty_ratio_disability,7,gvid,gvid,census.GVid,,False,,,,,
poverty_ratio_disability,8,sumlevel,sumlevel,int,,False,,,,,
poverty_ratio_disability,9,jam_flags,jam_flags,str,,False,,,,,
poverty_ratio_disability,10,c18131001,c18131001,float,,False,,,,,
poverty_ratio_disability,11,c18131001_m90,c18131001_m90,float,,False,,,,,
poverty_ratio_disability,12,c18131002,c18131002,float,,False,,,,,
poverty_ratio_disability,13,c18131002_m90,c18131002_m90,float,,False,,,,,
poverty_ratio_disability,14,c18131003,c18131003,float,,False,,,,,
poverty_ratio_disability,15,c18131003_m90,c18131003_m90,float,,False,,,,,
poverty_ratio_disability,16,c18131004,c18131004,float,,False,,,,,
poverty_ratio_disability,17,c18131004_m90,c18131004_m90,float,,False,,,,,
poverty_ratio_disability,18,c18131005,c18131005,float,,False,,,,,
poverty_ratio_disability,19,c18131005_m90,c18131005_m90,float,,False,,,,,
poverty_ratio_disability,20,c18131006,c18131006,float,,False,,,,,
poverty_ratio_disability,21,c18131006_m90,c18131006_m90,float,,False,,,,,
poverty_ratio_disability,22,c18131007,c18131007,float,,False,,,,,
poverty_ratio_disability,23,c18131007_m90,c18131007_m90,float,,False,,,,,
poverty_ratio_disability,24,c18131008,c18131008,float,,False,,,,,
poverty_ratio_disability,25,c18131008_m90,c18131008_m90,float,,False,,,,,
poverty_ratio_disability,26,c18131009,c18131009,float,,False,,,,,
poverty_ratio_disability,27,c18131009_m90,c18131009_m90,float,,False,,,,,
poverty_ratio_disability,28,c18131010,c18131010,float,,False,,,,,
poverty_ratio_disability,29,c18131010_m90,c18131010_m90,float,,False,,,,,
poverty_ratio_disability,30,c18131011,c18131011,float,,False,,,,,
poverty_ratio_disability,31,c18131011_m90,c18131011_m90,float,,False,,,,,
poverty_ratio_disability,32,c18131012,c18131012,float,,False,,,,,
poverty_ratio_disability,33,c18131012_m90,c18131012_m90,float,,False,,,,,
poverty_ratio_disability,34,c18131013,c18131013,float,,False,,,,,
poverty_ratio_disability,35,c18131013_m90,c18131013_m90,float,,False,,,,,
poverty_ratio_disability,36,c18131014,c18131014,float,,False,,,,,
poverty_ratio_disability,37,c18131014_m90,c18131014_m90,float,,False,,,,,
poverty_ratio_disability,38,c18131015,c18131015,float,,False,,,,,
poverty_ratio_disability,39,c18131015_m90,c18131015_m90,float,,False,,,,,
poverty_ratio_disability,40,c18131016,c18131016,float,,False,,,,,
poverty_ratio_disability,41,c18131016_m90,c18131016_m90,float,,False,,,,,
poverty_12mo_age,1,id,id,int,,False,,,,,
poverty_12mo_age,2,stusab,stusab,str,,False,,,,,
poverty_12mo_age,3,chariter,chariter,str,,False,,,,,
poverty_12mo_age,4,sequence,sequence,int,,False,,,,,
poverty_12mo_age,5,logrecno,logrecno,int,,False,,,,,
poverty_12mo_age,6,geoid,geoid,census.AcsGeoid,,False,,,,,
poverty_12mo_age,7,gvid,gvid,census.GVid,,False,,,,,
poverty_12mo_age,8,sumlevel,sumlevel,int,,False,,,,,
poverty_12mo_age,9,jam_flags,jam_flags,str,,False,,,,,
poverty_12mo_age,10,b17020001,b17020001,float,,False,,,,,
poverty_12mo_age,11,b17020001_m90,b17020001_m90,float,,False,,,,,
poverty_12mo_age,12,b17020002,b17020002,float,,False,,,,,
poverty_12mo_age,13,b17020002_m90,b17020002_m90,float,,False,,,,,
poverty_12mo_age,14,b17020003,b17020003,float,,False,,,,,
poverty_12mo_age,15,b17020003_m90,b17020003_m90,float,,False,,,,,
poverty_12mo_age,16,b17020004,b17020004,float,,False,,,,,
poverty_12mo_age,17,b17020004_m90,b17020004_m90,float,,False,,,,,
poverty_12mo_age,18,b17020005,b17020005,float,,False,,,,,
poverty_12mo_age,19,b17020005_m90,b17020005_m90,float,,False,,,,,
poverty_12mo_age,20,b17020006,b17020006,float,,False,,,,,
poverty_12mo_age,21,b17020006_m90,b17020006_m90,float,,False,,,,,
poverty_12mo_age,22,b17020007,b17020007,float,,False,,,,,
poverty_12mo_age,23,b17020007_m90,b17020007_m90,float,,False,,,,,
