id,indicatordescriptionid,timeframeid,timeframe,localeid,locale_name,gvid,modifiergraphid,dimensiongraphid,dimensiongraphsortorder,modifiergraphsortorder,dimensiongraphlabel,dimensiongraphheader,textualvalue,floatvalue,formattedvalue,graphvalue,numerator,denominator,confidenceintervallow,confidenceintervallowformatted,graphcilowvalue,confidenceintervalhigh,confidenceintervalhighformatted,graphcihighvalue,standarderror,standarderrorformatted,standarderrorgraphvalue,integraltarget,floattarget,formattedtarget,fipscode,ssacode,hrrcode
192271073,50011,30,2002-2008,101,Alabama - Autauga,0O0101,28,1,1,29,Total (Age-adjusted),Total,,35.5,35.5,35.5,,,28.6,28.6,28.6,42.4,42.4,42.4,3.5,3.5,3.5,,,,1001,,
192271074,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,1,1,1,Total,Total,,30.8,30.8,30.8,107,347761,24.9,24.9,24.9,36.6,36.6,36.6,3.0,3.0,3.0,,,,1001,,
192271075,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,317,67,1,Aged <18 years,Age,,,DSU,,,,,,,,,,,,,,,,1001,,
192271076,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,318,179,1,Aged <18 years; Male,Age; Sex,,,DSU,,,,,,,,,,,,,,,,1001,,
192271077,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,327,222,1,Aged <18 years; Female,Age; Sex,,,DSU,,,,,,,,,,,,,,,,1001,,
192271078,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,336,930,1,Aged <18 years; White,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271079,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,337,976,1,Aged <18 years; Black or African American,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271080,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,338,1022,1,Aged <18 years; American Indian or Alaska Native,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271081,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,339,1068,1,Aged <18 years; Asian or Pacific Islander,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271082,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,343,1129,1,Aged <18 years; Hispanic or Latino,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271083,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,344,1269,1,"Aged <18 years; White, non-Hispanic",Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271084,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,345,1319,1,"Aged <18 years; Black or African American, non-Hispanic",Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271085,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,346,1218,1,Aged <18 years; Not Hispanic or Latino,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271086,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,422,81,1,Aged 18-44 years,Age,,,DSU,,,,,,,,,,,,,,,,1001,,
192271087,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,423,183,1,Aged 18-44 years; Male,Age; Sex,,,DSU,,,,,,,,,,,,,,,,1001,,
192271088,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,432,226,1,Aged 18-44 years; Female,Age; Sex,,,DSU,,,,,,,,,,,,,,,,1001,,
192271089,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,441,935,1,Aged 18-44 years; White,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271090,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,442,981,1,Aged 18-44 years; Black or African American,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271091,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,443,1027,1,Aged 18-44 years; American Indian or Alaska Native,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271092,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,444,1073,1,Aged 18-44 years; Asian or Pacific Islander,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271093,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,445,1134,1,Aged 18-44 years; Hispanic or Latino,Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271094,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,446,1274,1,"Aged 18-44 years; White, non-Hispanic",Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
192271095,50011,30,2002-2008,101,Alabama - Autauga,0O0101,0,447,1324,1,"Aged 18-44 years; Black or African American, non-Hispanic",Age; Race/Ethnicity,,,DSU,,,,,,,,,,,,,,,,1001,,
