table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
hiw,1,id,id,int,,,,,,
hiw,2,indicatordescriptionid,none,int,,,,,,
hiw,3,timeframeid,none,int,,,,,,
hiw,4,timeframe,year,str,,,,,,
hiw,5,localeid,none,int,,,,,,
hiw,6,locale_name,locale_name,str,,,,,,
hiw,7,gvid,gvid,str,,,,,,
hiw,8,modifiergraphid,none,int,,,,,,
hiw,9,dimensiongraphid,none,int,,,,,,
hiw,10,dimensiongraphsortorder,none,int,,,,,,
hiw,11,modifiergraphsortorder,none,int,,,,,,
hiw,12,dimensiongraphlabel,subgroup,str,,,,,,
hiw,13,dimensiongraphheader,none,str,,,,,,
hiw,14,textualvalue,textualvalue,str,,,,,,
hiw,15,floatvalue,indicator_value,float,,,,,,
hiw,16,formattedvalue,none,str,,,,,,
hiw,17,graphvalue,none,str,,,,,,
hiw,18,numerator,none,int,,,,,,
hiw,19,denominator,none,int,,,,,,
hiw,20,confidenceintervallow,ci95l,float,,,,,,
hiw,21,confidenceintervallowformatted,none,str,,,,,,
hiw,22,graphcilowvalue,none,float,,,,,,
hiw,23,confidenceintervalhigh,ci95h,float,,,,,,
hiw,24,confidenceintervalhighformatted,none,str,,,,,,
hiw,25,graphcihighvalue,none,float,,,,,,
hiw,26,standarderror,se,float,,,,,,
hiw,27,standarderrorformatted,none,float,,,,,,
hiw,28,standarderrorgraphvalue,none,float,,,,,,
hiw,29,integraltarget,none,str,,,,,,
hiw,30,floattarget,none,str,,,,,,
hiw,31,formattedtarget,none,str,,,,,,
hiw,32,fipscode,county_fips,int,,,,,,
hiw,33,ssacode,none,int,,,,,,
hiw,34,hrrcode,none,int,,,,,,
