name,source_table_name,reftype,ref,title
287,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-287 WHERE gvid LIKE '0O06%',Medicare fee-for-service beneficiaries who have chronic kidney disease
50012,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-50012 WHERE gvid LIKE '0O06%',Chronic lower respiratory disease (CLRD) death rate
289,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-289 WHERE gvid LIKE '0O06%',Medicare fee-for-service beneficiaries who have chronic obstructive pulmonary disease
2039,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-2039 WHERE gvid LIKE '0O06%',Prevention Quality Indicators: Chronic obstructive pulmonary disease admission rate among Medicare fee-for-service beneficiaries
488,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-488 WHERE gvid LIKE '0O06%',Breast cancer death (female) rate
299,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-299 WHERE gvid LIKE '0O06%',Medicare fee-for-service beneficiaries who have breast cancer
486,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-486 WHERE gvid LIKE '0O06%',Overall cancer death rate
86,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-86 WHERE gvid LIKE '0O06%',"Colorectal cancer death rate per 100,000"
301,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-301 WHERE gvid LIKE '0O06%',Medicare fee-for-service beneficiaries who have colorectal cancer
303,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-303 WHERE gvid LIKE '0O06%',Medicare fee-for-service beneficiaries who have lung cancer
88,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-88 WHERE gvid LIKE '0O06%',"Lung, trachea, and bronchus cancer death rate per 100,000"
305,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-305 WHERE gvid LIKE '0O06%',Medicare fee-for-service beneficiaries who have prostate cancer
50012,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-50012 WHERE gvid LIKE '0O06%',Chronic lower respiratory disease (CLRD) death rate
50015,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-50015 WHERE gvid LIKE '0O06%',"Alzheimer's disease death rate per 100,000"
488,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-488 WHERE gvid LIKE '0O06%',Breast cancer death (female) rate
486,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-486 WHERE gvid LIKE '0O06%',Overall cancer death rate
86,hiw,sql ,SELECT * FROM healthindicators.gov-indicators-indicator-county-86 WHERE gvid LIKE '0O06%',"Colorectal cancer death rate per 100,000"
