table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
chronic,1,id,id,int,,False,,,,,id
chronic,2,gvid,gvid,str,,False,,,,,gvid
chronic,3,state,state,str,,False,,,,,state
chronic,4,county,county,str,,False,,,,,county
chronic,5,over_18_pop,over_18_pop,int,,False,,,,,over_18_pop
chronic,6,asthmaa_pct,asthmaa_pct,float,,False,,,,,asthmaa_pct
chronic,7,asthmaa_pct_se,asthmaa_pct_se,float,,False,,,,,asthmaa_pct_se
chronic,8,asthmaa_count,asthmaa_count,float,,False,,,,,asthmaa_count
chronic,9,diaba_pct,diaba_pct,float,,False,,,,,diaba_pct
chronic,10,diaba_pct_se,diaba_pct_se,float,,False,,,,,diaba_pct_se
chronic,11,diaba_count,diaba_count,float,,False,,,,,diaba_count
chronic,12,heartda_pct,heartda_pct,float,,False,,,,,heartda_pct
chronic,13,heartda_pct_se,heartda_pct_se,float,,False,,,,,heartda_pct_se
chronic,14,heartda_count,heartda_count,float,,False,,,,,heartda_count
chronic,15,psychdist_pct,psychdist_pct,float,,False,,,,,psychdist_pct
chronic,16,psychdist_pct_se,psychdist_pct_se,float,,False,,,,,psychdist_pct_se
chronic,17,psychdist_count,psychdist_count,float,,False,,,,,psychdist_count
